director,number_of_title,vote_average
B̩la Ternovszky,1,8.0
C. Jay Cox,1,6.4
C.B. Harding,1,4.6
Calin Peter Netzer,1,6.4
Callan Brunker,1,5.8
Callie Khouri,2,5.6
Cameron Cairnes|Colin Cairnes,1,5.5
Cameron Crowe,9,6.522222222222222
Camille Delamarre,2,5.55
Caradog W. James,1,5.7
Carine Tardieu,1,6.6
Carl Bessai,2,5.050000000000001
Carl Franklin,3,6.033333333333334
Carl Gottlieb,1,5.9
Carl Reiner,8,6.175
Carl Rinsch,1,5.8
Carl Schenkel,2,5.65
Carl Schultz,1,5.7
Carl Tibbetts,2,7.050000000000001
Carles Torrens,1,4.6
Carlo Carlei,2,6.55
Carlo Ledesma,1,5.3
Carlo Vanzina,2,4.7
Carlo Verdone,4,6.174999999999999
Carlos Brooks,1,5.3
Carlos Marques-Marcet,1,6.2
Carlos Saldanha,5,6.459999999999999
Carol Morley,2,6.05
Carol Reed,2,6.300000000000001
Carole Holliday|Matthew O'Callaghan|Theresa Cullen,1,7.2
Caroline Thompson,2,6.1
Carroll Ballard,4,6.55
Carter Smith,2,5.5
Cary Fukunaga,2,7.2
Cary Murnion|Jonathan Milott,1,5.2
Caryn Waechter,1,6.6
Casey Affleck,1,6.2
Casey La Scala,2,5.3
Casey Walker,1,5.9
Casper Van Dien,1,5.0
Catherine Breillat,2,5.75
Catherine Cyran,3,5.233333333333333
Catherine Hardwicke,7,6.357142857142857
Cathy Malkasian|Jeff McGrath,1,5.9
Cedric Sundstrom,1,5.0
Cesc Gay,2,5.5
Cess Silvera|Adam Doench|Lyndale V. Pettus,1,7.2
Chad Archibald,2,4.5
Chad Burns,1,6.2
Chad Crawford Kinkle,1,5.2
Chad Michael Ward,1,4.1
Chad Stahelski|David Leitch,1,7.0
Chadd Harbold,1,6.6
Chan-wook Park,1,6.3
Chandler Tuttle,1,6.6
Chandran Rutnam,1,5.5
Chang Cheh,2,7.3
Chapman Way|Maclain Way,1,7.2
Charles A. Nichols,1,6.2
Charles A. Nichols|Iwao Takamoto,1,6.3
Charles B. Pierce,1,6.3
Charles Band,2,4.15
Charles Binam̩,3,6.466666666666666
Charles Chaplin,1,5.4
Charles Crichton,1,6.8
Charles Dance,1,6.4
Charles E. Sellier Jr.,1,4.9
Charles Ferguson,2,7.15
Charles Grosvenor,9,6.011111111111111
Charles Guard|Thomas Guard,1,6.0
Charles Haid,1,6.0
Charles Herman-Wurmfeld,2,5.550000000000001
Charles Hood,1,7.1
Charles Jarrott,1,6.1
Charles Martin Smith,5,5.64
Charles Matthau,1,4.8
Charles Robert Carner,1,4.4
Charles S. Dutton,1,4.8
Charles Shyer,6,5.616666666666667
Charles Stone III,3,5.533333333333334
Charles Sturridge,3,6.566666666666666
Charles T. Kanganis,3,5.1000000000000005
Charles Walters,1,5.8
Charles Winkler,1,5.0
Charles de Lauzirika,1,5.5
Charles-Olivier Michaud,1,5.6
Charlie Kaufman,1,7.4
Charlie McDowell,1,6.8
Charlie Stratton,1,5.3
Chazz Palminteri,1,5.5
Chen Kaige,1,5.6
Cherien Dabis,1,6.4
Cheryl Hines,1,5.3
Cheung Yam-Yim,1,7.2
Chiang Chin-Lin,1,6.4
Ching Siu-Tung,3,5.566666666666667
Chip Hale,1,5.6
Cho Beom-gu,1,6.8
Chris Angel,2,4.199999999999999
Chris Bell,2,7.3
Chris Berkeley|Lauren Montgomery|Jay Oliva,1,6.5
Chris Bouchard,1,5.9
Chris Bould,2,8.1
Chris Brinker,1,5.7
Chris Buck|Jennifer Lee,2,7.25
Chris Buck|Kevin Lima,1,6.9
Chris Carter,2,5.95
Chris Columbus,14,6.4
Chris Crow,2,4.25
Chris Dowling,1,7.2
Chris Evans,1,6.3
Chris Fisher,4,4.575
Chris Gerolmo,1,6.7
Chris Gorak,2,4.95
Chris Holt|Stephen Cooter|Michael Lachmann,1,6.6
Chris James Thompson,1,5.9
Chris Kentis,1,5.3
Chris Kentis|Laura Lau,1,5.2
Chris Koch,2,4.949999999999999
Chris Malloy,1,6.0
Chris Mason Johnson,1,7.1
Chris McKay,1,6.2
Chris Messina,1,6.1
Chris Miller,1,6.9
Chris Miller|Raman Hui,1,5.8
Chris Moore,1,5.6
Chris Morris,1,7.0
Chris Moukarbel,1,6.8
Chris Nahon,1,6.3
